Metric Name,OID,Description,Interface Type,Admin Status,Oper Status,Inbound Octets,Outbound Octets,Inbound Errors,Outbound Errors
ifMetric_469f52b2,1.3.6.1.2.1.88.25,High-capacity counter for inbound traffic,Loopback,Up,Unknown,361281550,491611128,896,165
ifMetric_92c18715,1.3.6.1.2.1.59.11,High-capacity counter for inbound traffic,WiFi,Down,Up,124172193,52945435,184,722
ifMetric_f17b629e,1.3.6.1.2.1.55.42,Operational status of interface,WiFi,Down,Up,392748645,540391686,851,58
ifMetric_4dc14931,1.3.6.1.2.1.22.88,MAC address of interface,PPP,Testing,Down,779095164,732081111,857,80
ifMetric_df2a5c7f,1.3.6.1.2.1.30.50,Operational status of interface,Ethernet,Down,Down,93966523,28947447,857,150
ifMetric_f17b629e,1.3.6.1.2.1.22.88,MAC address of interface,PPP,Down,Down,322050207,469489994,49,479
ifMetric_4dc14931,1.3.6.1.2.1.67.71,Operational status of interface,ATM,Testing,Unknown,107439738,294355926,428,291
ifMetric_4dc14931,1.3.6.1.2.1.47.3,MAC address of interface,PPP,Testing,Unknown,266442290,839304399,572,827
ifMetric_469f52b2,1.3.6.1.2.1.59.11,Counter for outbound errors,Loopback,Up,Down,946802698,102994814,238,505
ifMetric_4dc14931,1.3.6.1.2.1.22.88,High-capacity counter for inbound traffic,PPP,Up,Unknown,934390469,447649906,750,318
ifMetric_7ca784a7,1.3.6.1.2.1.47.3,High-capacity counter for inbound traffic,Ethernet,Down,Up,315947548,234249029,473,326
ifMetric_92c18715,1.3.6.1.2.1.88.25,Operational status of interface,WiFi,Up,Down,994158384,291999013,690,334
ifMetric_4dc14931,1.3.6.1.2.1.95.14,Operational status of interface,PPP,Up,Down,9830155,246187996,559,560
ifMetric_40427409,1.3.6.1.2.1.67.71,Operational status of interface,Ethernet,Up,Unknown,905506377,177471559,479,605
ifMetric_f17b629e,1.3.6.1.2.1.47.3,MAC address of interface,Loopback,Up,Up,573671563,420071079,811,839
ifMetric_7ca784a7,1.3.6.1.2.1.55.42,Operational status of interface,PPP,Down,Up,659863977,352454010,26,775
ifMetric_913eb190,1.3.6.1.2.1.30.50,Counter for outbound errors,Ethernet,Testing,Unknown,961223199,450104208,933,202
ifMetric_4dc14931,1.3.6.1.2.1.47.3,High-capacity counter for inbound traffic,Loopback,Up,Down,701223397,620455664,541,661
ifMetric_7ca784a7,1.3.6.1.2.1.30.50,High-capacity counter for inbound traffic,ATM,Up,Unknown,57247093,15855089,799,836
ifMetric_f17b629e,1.3.6.1.2.1.47.3,Counter for outbound errors,Ethernet,Testing,Unknown,533616077,222198702,612,75
ifMetric_469f52b2,1.3.6.1.2.1.47.3,Operational status of interface,Loopback,Up,Up,387854837,597220755,369,959
ifMetric_7ca784a7,1.3.6.1.2.1.22.88,MAC address of interface,WiFi,Testing,Up,736610387,652361237,581,483
ifMetric_469f52b2,1.3.6.1.2.1.88.25,Counter for outbound errors,WiFi,Up,Up,609032659,176261997,894,810
ifMetric_469f52b2,1.3.6.1.2.1.95.14,MAC address of interface,PPP,Down,Down,562400919,484632832,495,825
ifMetric_7ca784a7,1.3.6.1.2.1.95.14,Operational status of interface,PPP,Testing,Up,138537797,427775263,833,497
ifMetric_469f52b2,1.3.6.1.2.1.22.88,MAC address of interface,Loopback,Testing,Down,621892158,381860264,884,275
ifMetric_4dc14931,1.3.6.1.2.1.30.50,Counter for outbound errors,Ethernet,Down,Down,223018977,872552480,73,280
ifMetric_df2a5c7f,1.3.6.1.2.1.95.14,High-capacity counter for inbound traffic,Ethernet,Down,Down,957393453,328033578,847,974
ifMetric_469f52b2,1.3.6.1.2.1.67.71,Counter for outbound errors,PPP,Down,Unknown,287196028,349709452,696,908
ifMetric_df2a5c7f,1.3.6.1.2.1.67.71,MAC address of interface,ATM,Testing,Down,149743311,747335472,985,360
ifMetric_df2a5c7f,1.3.6.1.2.1.47.3,High-capacity counter for inbound traffic,WiFi,Down,Down,367727862,639667639,253,357
ifMetric_4dc14931,1.3.6.1.2.1.30.50,Counter for outbound errors,WiFi,Down,Down,941469632,296385316,710,149
ifMetric_f17b629e,1.3.6.1.2.1.47.3,High-capacity counter for inbound traffic,Loopback,Testing,Down,239040137,188400715,370,83
ifMetric_f17b629e,1.3.6.1.2.1.95.14,Operational status of interface,Loopback,Down,Up,212108967,235122556,345,26
ifMetric_f17b629e,1.3.6.1.2.1.95.14,High-capacity counter for inbound traffic,ATM,Testing,Down,838533200,327603894,859,156
ifMetric_7ca784a7,1.3.6.1.2.1.59.11,MAC address of interface,PPP,Testing,Up,354822444,467716219,316,609
ifMetric_f17b629e,1.3.6.1.2.1.30.50,High-capacity counter for inbound traffic,PPP,Testing,Up,174548917,435184756,245,709
ifMetric_4dc14931,1.3.6.1.2.1.22.88,Operational status of interface,WiFi,Up,Unknown,934712051,45298533,484,116
ifMetric_4dc14931,1.3.6.1.2.1.95.14,MAC address of interface,ATM,Down,Up,932221210,129901862,332,542
ifMetric_913eb190,1.3.6.1.2.1.59.11,MAC address of interface,Loopback,Testing,Down,769826670,513624177,377,551
ifMetric_df2a5c7f,1.3.6.1.2.1.95.14,Counter for outbound errors,WiFi,Up,Up,392998440,139581265,625,861
ifMetric_f17b629e,1.3.6.1.2.1.88.25,High-capacity counter for inbound traffic,ATM,Down,Up,37624330,419539250,720,30
ifMetric_7ca784a7,1.3.6.1.2.1.88.25,High-capacity counter for inbound traffic,ATM,Up,Unknown,618372897,344796128,650,870
ifMetric_913eb190,1.3.6.1.2.1.59.11,Operational status of interface,Loopback,Testing,Up,731749420,847597242,955,440
ifMetric_df2a5c7f,1.3.6.1.2.1.22.88,Counter for outbound errors,Loopback,Down,Down,106017886,782433594,900,464
ifMetric_f17b629e,1.3.6.1.2.1.22.88,Counter for outbound errors,Loopback,Up,Down,121439154,180620401,993,697
ifMetric_f17b629e,1.3.6.1.2.1.59.11,Counter for outbound errors,Loopback,Up,Unknown,728659272,27729916,757,508
ifMetric_469f52b2,1.3.6.1.2.1.59.11,Operational status of interface,WiFi,Testing,Down,146080086,8085256,529,834
ifMetric_7ca784a7,1.3.6.1.2.1.95.14,High-capacity counter for inbound traffic,WiFi,Testing,Down,388876647,916083219,329,879
ifMetric_f17b629e,1.3.6.1.2.1.67.71,High-capacity counter for inbound traffic,Ethernet,Down,Down,173607242,23373916,424,303
ifMetric_4dc14931,1.3.6.1.2.1.88.25,MAC address of interface,Loopback,Down,Down,225293342,315079265,761,224
ifMetric_f17b629e,1.3.6.1.2.1.30.50,Operational status of interface,Loopback,Testing,Unknown,667836361,803016593,632,545
ifMetric_7ca784a7,1.3.6.1.2.1.47.3,MAC address of interface,WiFi,Up,Down,115890456,707230067,58,54
ifMetric_f17b629e,1.3.6.1.2.1.88.25,Counter for outbound errors,Ethernet,Up,Unknown,310825349,823355808,29,979
ifMetric_4dc14931,1.3.6.1.2.1.30.50,Operational status of interface,WiFi,Testing,Unknown,127125566,707632993,490,374
ifMetric_913eb190,1.3.6.1.2.1.59.11,MAC address of interface,Loopback,Up,Unknown,213863069,694082765,567,791
ifMetric_7ca784a7,1.3.6.1.2.1.22.88,High-capacity counter for inbound traffic,PPP,Down,Up,457057578,893923896,979,995
ifMetric_4dc14931,1.3.6.1.2.1.30.50,MAC address of interface,Ethernet,Up,Down,668927056,269753713,675,571
ifMetric_913eb190,1.3.6.1.2.1.88.25,High-capacity counter for inbound traffic,WiFi,Testing,Up,190208222,467337052,97,486
ifMetric_f17b629e,1.3.6.1.2.1.88.25,MAC address of interface,ATM,Testing,Unknown,997490083,292925651,731,717
ifMetric_f17b629e,1.3.6.1.2.1.47.3,Counter for outbound errors,Ethernet,Testing,Down,630728790,176088166,468,679
ifMetric_df2a5c7f,1.3.6.1.2.1.88.25,High-capacity counter for inbound traffic,Ethernet,Down,Up,486688380,313398762,824,453
ifMetric_40427409,1.3.6.1.2.1.30.50,Counter for outbound errors,ATM,Testing,Unknown,280152460,117475065,558,58
ifMetric_f17b629e,1.3.6.1.2.1.22.88,MAC address of interface,PPP,Testing,Unknown,424983464,521127319,632,948
ifMetric_40427409,1.3.6.1.2.1.59.11,MAC address of interface,Loopback,Up,Down,357646033,530428272,219,63
ifMetric_469f52b2,1.3.6.1.2.1.67.71,MAC address of interface,Loopback,Up,Unknown,668840177,751975585,484,937
ifMetric_92c18715,1.3.6.1.2.1.22.88,Counter for outbound errors,ATM,Down,Unknown,307262471,509037587,616,812
ifMetric_469f52b2,1.3.6.1.2.1.22.88,High-capacity counter for inbound traffic,PPP,Testing,Unknown,478527118,614123271,783,398
ifMetric_4dc14931,1.3.6.1.2.1.22.88,Operational status of interface,WiFi,Testing,Up,521774431,885571469,15,526
ifMetric_40427409,1.3.6.1.2.1.59.11,High-capacity counter for inbound traffic,PPP,Down,Unknown,453955003,589646416,99,991
ifMetric_469f52b2,1.3.6.1.2.1.55.42,MAC address of interface,Loopback,Up,Unknown,632246903,824358758,513,459
ifMetric_92c18715,1.3.6.1.2.1.30.50,Counter for outbound errors,Loopback,Testing,Unknown,899334790,621645933,938,501
ifMetric_7ca784a7,1.3.6.1.2.1.30.50,MAC address of interface,Loopback,Up,Unknown,417808380,316649703,982,752
ifMetric_f17b629e,1.3.6.1.2.1.47.3,Counter for outbound errors,ATM,Up,Unknown,681167757,609716215,985,673
ifMetric_df2a5c7f,1.3.6.1.2.1.59.11,Operational status of interface,PPP,Testing,Up,533239857,274171405,453,533
ifMetric_469f52b2,1.3.6.1.2.1.95.14,Operational status of interface,Ethernet,Down,Up,260991605,451357068,751,284
ifMetric_40427409,1.3.6.1.2.1.67.71,High-capacity counter for inbound traffic,WiFi,Down,Down,194916941,753779683,789,177
ifMetric_7ca784a7,1.3.6.1.2.1.22.88,Counter for outbound errors,Loopback,Up,Unknown,711675240,217871476,540,852
ifMetric_40427409,1.3.6.1.2.1.30.50,High-capacity counter for inbound traffic,ATM,Down,Down,243927935,567423408,425,918
ifMetric_7ca784a7,1.3.6.1.2.1.88.25,MAC address of interface,WiFi,Up,Down,466068611,245038927,497,136
ifMetric_913eb190,1.3.6.1.2.1.55.42,Operational status of interface,ATM,Down,Up,896982268,885998618,289,514
ifMetric_f17b629e,1.3.6.1.2.1.67.71,High-capacity counter for inbound traffic,Ethernet,Up,Unknown,851311109,948749783,959,127
ifMetric_92c18715,1.3.6.1.2.1.67.71,Counter for outbound errors,PPP,Testing,Up,478566388,93166564,888,416
ifMetric_7ca784a7,1.3.6.1.2.1.59.11,Counter for outbound errors,Loopback,Down,Up,776835443,253000627,376,356
ifMetric_913eb190,1.3.6.1.2.1.30.50,High-capacity counter for inbound traffic,WiFi,Testing,Down,662039290,662605182,0,70
ifMetric_4dc14931,1.3.6.1.2.1.22.88,High-capacity counter for inbound traffic,PPP,Testing,Unknown,294227645,193061851,228,976
ifMetric_df2a5c7f,1.3.6.1.2.1.67.71,Operational status of interface,WiFi,Down,Unknown,403293429,221135985,808,184
ifMetric_913eb190,1.3.6.1.2.1.59.11,High-capacity counter for inbound traffic,WiFi,Down,Down,758577613,668084113,736,993
ifMetric_40427409,1.3.6.1.2.1.88.25,Counter for outbound errors,PPP,Testing,Down,306642021,122220673,853,530
ifMetric_469f52b2,1.3.6.1.2.1.47.3,MAC address of interface,PPP,Testing,Unknown,544458565,581879395,977,888
ifMetric_913eb190,1.3.6.1.2.1.47.3,MAC address of interface,PPP,Up,Unknown,266522948,168334774,277,27
ifMetric_7ca784a7,1.3.6.1.2.1.22.88,Counter for outbound errors,PPP,Up,Unknown,888224545,96645384,6,283
ifMetric_f17b629e,1.3.6.1.2.1.59.11,Operational status of interface,WiFi,Up,Up,159948377,746126241,101,311
ifMetric_7ca784a7,1.3.6.1.2.1.22.88,High-capacity counter for inbound traffic,PPP,Testing,Down,177520441,429095497,495,500
ifMetric_df2a5c7f,1.3.6.1.2.1.22.88,Counter for outbound errors,Ethernet,Testing,Up,954647434,221422223,155,977
ifMetric_40427409,1.3.6.1.2.1.47.3,High-capacity counter for inbound traffic,WiFi,Down,Unknown,131465944,770862328,128,790
ifMetric_40427409,1.3.6.1.2.1.30.50,MAC address of interface,PPP,Up,Down,235307031,318092735,356,391
ifMetric_4dc14931,1.3.6.1.2.1.55.42,High-capacity counter for inbound traffic,PPP,Down,Up,384725540,736518865,857,994
ifMetric_92c18715,1.3.6.1.2.1.67.71,MAC address of interface,ATM,Down,Unknown,873335151,387476340,689,423
ifMetric_40427409,1.3.6.1.2.1.67.71,High-capacity counter for inbound traffic,ATM,Down,Up,529278821,626546144,813,821
ifMetric_7ca784a7,1.3.6.1.2.1.55.42,Operational status of interface,ATM,Testing,Up,777684677,650699996,315,887
ifMetric_913eb190,1.3.6.1.2.1.59.11,MAC address of interface,WiFi,Down,Down,532135837,924107313,178,540
ifMetric_92c18715,1.3.6.1.2.1.88.25,High-capacity counter for inbound traffic,ATM,Down,Up,444579337,485632719,879,792
ifMetric_df2a5c7f,1.3.6.1.2.1.95.14,MAC address of interface,Loopback,Up,Down,927892165,39885227,807,977
ifMetric_4dc14931,1.3.6.1.2.1.59.11,Counter for outbound errors,ATM,Testing,Unknown,828682973,309947826,501,130
ifMetric_df2a5c7f,1.3.6.1.2.1.95.14,Operational status of interface,Loopback,Down,Up,967786371,500919445,603,762
