Metric Name,OID,Description,Interface Type,Admin Status,Oper Status,Inbound Octets,Outbound Octets,Inbound Errors,Outbound Errors
ifMetric_40427409,1.3.6.1.2.1.30.50,High-capacity counter for inbound traffic,PPP,Up,Unknown,985761772,427430280,184,501
ifMetric_f17b629e,1.3.6.1.2.1.88.25,High-capacity counter for inbound traffic,Loopback,Testing,Down,202973144,931440947,103,83
ifMetric_df2a5c7f,1.3.6.1.2.1.67.71,Operational status of interface,ATM,Down,Down,940676151,425621865,324,318
ifMetric_469f52b2,1.3.6.1.2.1.47.3,MAC address of interface,Ethernet,Testing,Up,492330654,469782112,85,930
ifMetric_7ca784a7,1.3.6.1.2.1.22.88,Counter for outbound errors,Loopback,Down,Up,214868804,110294112,361,536
ifMetric_92c18715,1.3.6.1.2.1.55.42,Operational status of interface,Ethernet,Down,Down,927716004,391116709,375,913
ifMetric_913eb190,1.3.6.1.2.1.59.11,Operational status of interface,WiFi,Down,Up,778717953,680368769,549,606
ifMetric_4dc14931,1.3.6.1.2.1.95.14,MAC address of interface,Ethernet,Testing,Up,298842817,673688098,546,678
ifMetric_41918193,1.3.6.1.2.1.83.53,Administrative status of interface,ATM,Down,Unknown,792517292,878964566,86,330
ifMetric_9902fbe2,1.3.6.1.2.1.85.65,Counter for outbound errors,ATM,Up,Down,540533294,998447552,708,618
ifMetric_844c1284,1.3.6.1.2.1.7.21,High-capacity counter for inbound traffic,Ethernet,Testing,Up,919146365,913829416,606,574
ifMetric_6be691fd,1.3.6.1.2.1.1.83,Operational status of interface,Loopback,Up,Down,24788884,655575526,936,103
ifMetric_4329256f,1.3.6.1.2.1.80.78,Inbound traffic errors,Ethernet,Down,Up,374399944,59918422,796,847
ifMetric_b4dfe360,1.3.6.1.2.1.69.90,Counter for outbound errors,WiFi,Down,Down,904151979,959860671,419,719
ifMetric_d36a6403,1.3.6.1.2.1.17.22,High-capacity counter for inbound traffic,Loopback,Up,Unknown,152029899,83725681,537,581
ifMetric_c2b7c989,1.3.6.1.2.1.1.33,Operational status of interface,PPP,Down,Up,452119881,809083624,268,170
ifMetric_014a5656,1.3.6.1.2.1.32.62,MAC address of interface,ATM,Up,Down,695651639,776486386,677,642
ifMetric_3446b0d6,1.3.6.1.2.1.33.74,Operational status of interface,PPP,Testing,Up,874792243,330902228,961,123
ifMetric_6a68f34d,1.3.6.1.2.1.45.54,Administrative status of interface,ATM,Up,Up,194520226,467082272,68,757
ifMetric_a8072ce8,1.3.6.1.2.1.44.6,Inbound traffic errors,ATM,Testing,Up,937115889,508958897,624,256
ifMetric_e4b41853,1.3.6.1.2.1.74.71,Operational status of interface,ATM,Down,Unknown,180730558,685685720,34,299
ifMetric_1b998469,1.3.6.1.2.1.64.59,Administrative status of interface,ATM,Up,Up,224149257,716099673,218,573
ifMetric_fe6e173d,1.3.6.1.2.1.13.98,Counter for outbound errors,Loopback,Testing,Unknown,165770120,27547835,561,335
ifMetric_e52c18a0,1.3.6.1.2.1.47.28,Counter for outbound errors,WiFi,Testing,Unknown,713559829,893513486,143,365
ifMetric_994b9b1b,1.3.6.1.2.1.19.61,High-capacity counter for inbound traffic,ATM,Testing,Down,785444403,342287380,928,744
ifMetric_ef32a432,1.3.6.1.2.1.98.59,Counter for outbound errors,ATM,Down,Unknown,327004997,905952501,180,171
ifMetric_10a84cff,1.3.6.1.2.1.12.4,Counter for outbound errors,WiFi,Testing,Down,865146824,255235744,344,325
ifMetric_a1828f4f,1.3.6.1.2.1.7.78,High-capacity counter for inbound traffic,PPP,Testing,Unknown,268952071,68647296,33,886
ifMetric_58877dd7,1.3.6.1.2.1.6.32,Inbound traffic errors,WiFi,Down,Down,471803590,963574500,344,391
ifMetric_d928ea9c,1.3.6.1.2.1.17.54,High-capacity counter for inbound traffic,Loopback,Down,Up,486853387,724862460,481,957
ifMetric_4a082894,1.3.6.1.2.1.4.6,High-capacity counter for inbound traffic,PPP,Testing,Down,606508104,900197928,628,450
ifMetric_a5b49d1d,1.3.6.1.2.1.54.9,Administrative status of interface,ATM,Up,Down,713609073,894875102,495,825
ifMetric_ec126592,1.3.6.1.2.1.40.74,Inbound traffic errors,WiFi,Testing,Up,19522393,252143842,462,355
ifMetric_84061663,1.3.6.1.2.1.80.40,Counter for outbound errors,ATM,Down,Unknown,49554951,95603131,343,782
ifMetric_8570adfe,1.3.6.1.2.1.46.57,High-capacity counter for inbound traffic,Ethernet,Down,Down,205656163,408462532,944,409
ifMetric_6aa86ea7,1.3.6.1.2.1.35.81,Administrative status of interface,Loopback,Down,Unknown,397670759,389361281,739,81
ifMetric_ed700f76,1.3.6.1.2.1.8.25,Operational status of interface,Loopback,Testing,Down,360674933,690932156,498,688
ifMetric_6dcf1274,1.3.6.1.2.1.49.1,Inbound traffic errors,Loopback,Testing,Unknown,716923263,306840979,145,8
ifMetric_5bef03d4,1.3.6.1.2.1.33.88,High-capacity counter for inbound traffic,Ethernet,Testing,Up,196982582,404501459,426,953
ifMetric_00d9824a,1.3.6.1.2.1.7.47,MAC address of interface,PPP,Testing,Down,735413511,657900713,276,408
ifMetric_0df44c9c,1.3.6.1.2.1.84.18,Inbound traffic errors,Loopback,Up,Up,120828431,828245072,245,900
ifMetric_fb99f63c,1.3.6.1.2.1.84.32,Administrative status of interface,Loopback,Down,Unknown,130942898,195073556,712,468
ifMetric_dc5a83aa,1.3.6.1.2.1.86.22,Counter for outbound errors,ATM,Up,Down,79477868,117445415,175,651
ifMetric_795f0945,1.3.6.1.2.1.91.95,Operational status of interface,Ethernet,Down,Up,900645818,632261830,660,686
ifMetric_4373fc60,1.3.6.1.2.1.90.17,Counter for outbound errors,Loopback,Testing,Unknown,627172634,23698187,925,38
ifMetric_bf7d4277,1.3.6.1.2.1.37.56,High-capacity counter for inbound traffic,WiFi,Testing,Unknown,952428377,145179016,772,372
ifMetric_d03f2472,1.3.6.1.2.1.22.26,MAC address of interface,Ethernet,Up,Up,556354489,225978040,453,898
ifMetric_985e06e2,1.3.6.1.2.1.26.70,MAC address of interface,WiFi,Testing,Up,517402952,870433620,316,241
ifMetric_ba4a1729,1.3.6.1.2.1.21.30,Operational status of interface,WiFi,Up,Up,659157243,680960068,608,352
ifMetric_a55b61b9,1.3.6.1.2.1.26.70,Inbound traffic errors,PPP,Up,Unknown,706215858,102692132,749,910
ifMetric_061299cd,1.3.6.1.2.1.78.83,Inbound traffic errors,Ethernet,Testing,Up,638715214,733709946,793,888
ifMetric_10c5463d,1.3.6.1.2.1.47.12,Counter for outbound errors,Loopback,Up,Unknown,798134868,27538887,636,272
ifMetric_755d3964,1.3.6.1.2.1.98.35,Counter for outbound errors,ATM,Up,Unknown,936174615,528935149,444,35
ifMetric_6c6d278f,1.3.6.1.2.1.29.33,Counter for outbound errors,PPP,Down,Unknown,673714890,878461930,99,398
ifMetric_cd626745,1.3.6.1.2.1.82.94,Administrative status of interface,ATM,Testing,Up,59870499,745524727,176,495
ifMetric_d560c627,1.3.6.1.2.1.45.96,Inbound traffic errors,ATM,Down,Down,237096641,166320467,595,255
ifMetric_ad474db9,1.3.6.1.2.1.51.68,High-capacity counter for inbound traffic,ATM,Testing,Down,278725053,216650403,318,273
ifMetric_66a9fbbd,1.3.6.1.2.1.3.69,Operational status of interface,Loopback,Up,Down,835917554,931598023,100,517
ifMetric_a4d04b2f,1.3.6.1.2.1.18.2,Inbound traffic errors,ATM,Testing,Unknown,898545132,266329923,586,20
ifMetric_1f85d74b,1.3.6.1.2.1.42.52,Counter for outbound errors,ATM,Up,Down,407180851,569465901,595,721
ifMetric_01887bec,1.3.6.1.2.1.44.82,Operational status of interface,PPP,Testing,Unknown,363516424,359101380,261,962
